Category: All categories

Month,Banana Republic: (Worldwide)
2012-01,64
2012-02,67
2012-03,70
2012-04,69
2012-05,64
2012-06,67
2012-07,65
2012-08,68
2012-09,74
2012-10,76
2012-11,92
2012-12,95
2013-01,66
2013-02,65
2013-03,70
2013-04,69
2013-05,74
2013-06,65
2013-07,66
2013-08,73
2013-09,70
2013-10,74
2013-11,87
2013-12,100
2014-01,66
2014-02,60
2014-03,67
2014-04,66
2014-05,64
2014-06,57
2014-07,62
2014-08,65
2014-09,65
2014-10,66
2014-11,84
2014-12,84
2015-01,59
2015-02,52
2015-03,60
2015-04,60
2015-05,58
2015-06,54
2015-07,57
2015-08,55
2015-09,58
2015-10,60
2015-11,80
2015-12,76
2016-01,48
2016-02,45
2016-03,49
2016-04,49
2016-05,52
2016-06,49
2016-07,46
2016-08,45
2016-09,48
2016-10,51
2016-11,67
2016-12,59
2017-01,43
2017-02,37
2017-03,44
2017-04,46
2017-05,45
2017-06,43
2017-07,40
2017-08,42
2017-09,45
2017-10,48
2017-11,61
2017-12,57
2018-01,37
2018-02,37
2018-03,42
2018-04,41
2018-05,43
2018-06,40
2018-07,40
2018-08,40
2018-09,42
2018-10,40
2018-11,60
2018-12,49
2019-01,41
2019-02,34
2019-03,39
2019-04,36
2019-05,38
2019-06,39
2019-07,39
2019-08,39
2019-09,41
2019-10,44
2019-11,56
2019-12,54
2020-01,37
2020-02,34
2020-03,26
2020-04,25
2020-05,33
2020-06,31
2020-07,32
2020-08,29
2020-09,31
2020-10,30
2020-11,40
2020-12,36
2021-01,29
2021-02,24
2021-03,27
2021-04,30
2021-05,35
2021-06,31
2021-07,31
2021-08,31
2021-09,34
2021-10,37
2021-11,50
2021-12,43
2022-01,31
