Category: All categories

Month,Gap Inc.: (Worldwide)
2012-01,70
2012-02,71
2012-03,75
2012-04,79
2012-05,74
2012-06,73
2012-07,70
2012-08,78
2012-09,82
2012-10,86
2012-11,100
2012-12,91
2013-01,73
2013-02,68
2013-03,81
2013-04,74
2013-05,71
2013-06,68
2013-07,72
2013-08,76
2013-09,76
2013-10,83
2013-11,96
2013-12,95
2014-01,70
2014-02,65
2014-03,73
2014-04,71
2014-05,70
2014-06,62
2014-07,70
2014-08,69
2014-09,73
2014-10,69
2014-11,96
2014-12,85
2015-01,63
2015-02,58
2015-03,67
2015-04,63
2015-05,68
2015-06,66
2015-07,65
2015-08,66
2015-09,69
2015-10,72
2015-11,86
2015-12,82
2016-01,59
2016-02,55
2016-03,59
2016-04,58
2016-05,61
2016-06,62
2016-07,61
2016-08,59
2016-09,62
2016-10,65
2016-11,85
2016-12,67
2017-01,53
2017-02,49
2017-03,49
2017-04,56
2017-05,50
2017-06,47
2017-07,50
2017-08,52
2017-09,57
2017-10,56
2017-11,77
2017-12,64
2018-01,49
2018-02,47
2018-03,49
2018-04,46
2018-05,47
2018-06,46
2018-07,44
2018-08,44
2018-09,49
2018-10,56
2018-11,71
2018-12,55
2019-01,43
2019-02,47
2019-03,50
2019-04,44
2019-05,41
2019-06,41
2019-07,42
2019-08,44
2019-09,46
2019-10,46
2019-11,58
2019-12,54
2020-01,40
2020-02,37
2020-03,32
2020-04,41
2020-05,49
2020-06,50
2020-07,47
2020-08,42
2020-09,44
2020-10,49
2020-11,54
2020-12,51
2021-01,34
2021-02,35
2021-03,37
2021-04,38
2021-05,38
2021-06,38
2021-07,36
2021-08,38
2021-09,44
2021-10,46
2021-11,57
2021-12,48
2022-01,18
