Date,Search Volume
2015-01,51
2015-02,56
2015-03,63
2015-04,61
2015-05,69
2015-06,68
2015-07,70
2015-08,72
2015-09,65
2015-10,72
2015-11,98
2015-12,92
2016-01,50
2016-02,50
2016-03,63
2016-04,54
2016-05,67
2016-06,70
2016-07,65
2016-08,65
2016-09,60
2016-10,63
2016-11,94
2016-12,84
2017-01,46
2017-02,52
2017-03,56
2017-04,58
2017-05,58
2017-06,65
2017-07,63
2017-08,63
2017-09,60
2017-10,62
2017-11,95
2017-12,80
2018-01,43
2018-02,51
2018-03,58
2018-04,57
2018-05,64
2018-06,63
2018-07,58
2018-08,62
2018-09,55
2018-10,56
2018-11,92
2018-12,72
2019-01,42
2019-02,46
2019-03,53
2019-04,58
2019-05,60
2019-06,65
2019-07,64
2019-08,66
2019-09,56
2019-10,63
2019-11,92
2019-12,88
2020-01,44
2020-02,44
2020-03,41
2020-04,51
2020-05,82
2020-06,79
2020-07,74
2020-08,65
2020-09,60
2020-10,68
2020-11,88
2020-12,82
2021-01,49
2021-02,49
2021-03,60
2021-04,64
2021-05,66
2021-06,63
2021-07,62
2021-08,60
2021-09,58
2021-10,62
2021-11,84
2021-12,73
2022-01,7
