Rating,Review Title,Review Text
1,Banana Republic Factory doesn't return shipping cost,"I purchased a shirt on line from Banana Republic factory. I didn't like the fit so I returned the shirt. I was only refunded what I paid for the shirt  they did not refund the shipping cost. I asked why not and they me referred to call Banana Republic. I did and now the issue is being disputed. Whatever the outcome is, I will not shop online from that company again."
1,BEWARE OF: final sale of clothing sets that are sold separately!,"Please be careful with the final sale of clothing sets that are sold separately! I purchased both the suit jacket and pants in a very specific color (sold separately but intended as a set, due to color match) but was informed 5 days later that the jacket was not in inventory. Since both items were final sale I am now stuck with suit pants that I cannot use as they are not understanding the intention of purchasing these items together. I've been informed there is nothing they are able/willing to do which leaves me stuck and very frustrated with their product and services. I hoped they would have been more understanding to keep their customers satisfied but I suppose it is more important to stick to a company policy than keep future customers."
1,TERRIBLE DELIVERY SERVICE AND REFUND,"My first order got delayed and I got a message that will arrive days later. I needed them on time to be able to travel with them, I was suggested to buy them again paying express shipping and they assure me they will arrive on time.  Now, even that I pay 15 USD extra, the order will be also delayed 4 days.  I won't be able to take that one with me either.  I called again (3rd time) and they don't offer any solution, they say I can return the orders, but it will take 10 days to get the order back and 15 to process the order, meaning 25 days to be able to get my money back for two orders that will be delivered late due to bad management.  NEVER again.  This is very upsetting!!!"
1,Banana Republic stores are operating like Franchise store! Bad customer service,"Banana Republic stores are operating like a franchise store! On June 25, 2023 the store in Sherway Garden (Etibicoke, Ontario) has promotion of 30% additional off from sale item, while the store at Markville mall (Markham, Ontario) refuse to honor the price. Banana Republic Markville mall staff ( I went there around 3 pm pn June 25) mentioned that I should have check what is the promotion in their store prior to making the trip. They shift the responsibility to the customer. One of kind customer service."
1,I had bought an item on final sale and…,"I had bought an item on final sale and went with the recommended size from the website's True Fit feature. When the item arrived, it ended up being too small! I tried to chat with the associate online and plead my case because what's the point in buying something I can't use? Unfortunately, due to ""limitations"" they can't do anything about it and I've basically wasted my money. This is unfair business practices, and I recommend anyone to steer clear."
1,$500 shoes arrived damaged,"$500 shoes arrived damaged.  Final sale.  Contacted chat as I am hearing impaired, they say I have to call.  Advised them I cannot hear, and they said they'd have a supervisor email me within 3 hours.  27 hours later, I finally get an email, saying nothing except to call. Discriminatory- unacceptable for a large company like this."
1,Horrible customer service at banana…,Horrible customer service at banana republic factory. Sent back items and waiting on refund for a really long time. It takes up to a month for them to refund...that's a really long time. Would rather shop from retailers who process refunds in a timely manner. They also yell at you in broken English if you ask questions or don't understand what they are sayimg.
2,Not able to ship item and poor customer feedback,"The items I received were ok. After 16 days I contacted customer support to ask where the last item is. This is the answer: ""I am sorry for he inconvenience but your order is still in process due to heavy volume of orders"". Almost 3 weeks and not able to ship an item? Simply not good enough."
1,Beware of ordering online,I bought an expensive men's leather moto jacket which was the last one in my size online and nothing left in any Banana Republic stores across N. America  and the Ontario warehouse shipped a ugly looking shirt instead. I have never had this experience before and was so angry. I'm certain it wasn't an accident considering the high price and so close to Christmas. Customer service offered a refund but I wanted this unique looking jacket so bad it's annoying.
1,Bad company policy on price adjustments,"BR Factory claims on their website that it honors a one-time price adjustment within 14 days from order date.  I placed an order on Monday night and by Tuesday morning, BR Factory already had another promotion on top of the already discounted price.  When I called on Wednesday to get a price adjustment (mind you my order has not even been shipped out yet), the customer service agent told me that they could not honor the price adjustment because extra promotions do not count as price mark downs.  Essentially the company policy plays with words to make you believe they honor price adjustments but in reality they really do not.  All they will offer is to give me a future coupon (10%) so that hopefully I will spend more money with them.  NOPE, I declined the coupon and will not buy anything from BR ever again.  There are too many clothing brands to choose from for me to be willing to deal with dishonest companies."
2,Watch for the small print...,I recently made a purchase only to find out that I made the mistake (missed the print when ordering on my phone) of ordering some final sale items. When the order arrived I realized 2 of the 6 items didn't the same as the others purchased. I tried calling customer service and was told sorry there is nothing we can do. Very frustrated that they wouldn't even consider a credit. If it wasn't for the individual at least being friendly this would be a 1 star.
5,I just love the return of the old BR,"I’m surprised with all the bad reviews for Banana Republic.  I buy from them a few times a month.  Yes, the clothes are on the pricey side, but, they are made from linen, wool, silk, leather, suede—all being luxury materials.  Yes, their “final sales—no returns accepted” is a strict policy, but often prices are marked way down because of it and I either don’t shop those items—if size/fitting is in any way an issue.  They have styles that are hard to come by in other online shoppes and the return to their original styles is a serious ++.  My only qualms would be to not have so many cropped sizes on shirts and not such voluminous pants as most reviews on those items show that’s not a big fav with many of us.  Other than that, love them!"
1,It was the worst customer service…,It was the worst customer service experience I ever had. I just talked with the customer service for 1hour because I ordered my item with 2-3days shipping but the shipping confirmation shows it won’t deliver for 10 more days. They basically couldn’t help me anything as their stupid policy.  I will never use them again ever. It was just horrible experience.
1,Dawsonville North Ga premium outlet,"The short spanish guy with glasses at Dawsonville has terrible customer service. He is rude, always angry, annoyed and grumpy. Stay home if you want to be mean to customers who are spending money at your store."
2,Bad quality clothes,"The quality of the clothes is getting worse and worse. I bought two sweaters and they broke (filled with holes all over) at the first wash. Now they sell all spandex-type of clothing, which besides being harmful to health, is of the worst quality, does not last at all, and expands when washed... you can see that they are not the same original owners, but rather owners who do not care about ethics or making quality clothes. Very disappointing."
1,HORRIBLE,I finally decide to start shopping at Banana Republic and I get punished for it. I get shopping rewards for shopping and I was able to convert my rewards to Gift Card for Banana Republic. Do you know they cancelled my order due to fraud? Unbelievable. So I guess they realized their error and reissued me another card. Not thank you! I will never purchase from there again.
1,What happened to the BR Brand??,"I bought three items on March 10. After I did not get my items in the mail in 10 days because they do not offer an express shipping method, I started watching the tracking and every couple of days it was pushed back and pushed back and pushed back finally three days ago I called and asked what was going on and they said the chances of me ever receiving my product was not good so they would go ahead and refund my purchase. Pathetic at best. I will never order from banana republic factory, outlet or banana republic. Shame on you for letting your brand halo fail. I used to think of BR as quality, cool and reputable - I no longer think that way - and apparently I am not alone. Fix your operations, deliver on your promise,  train your customer service team better and lower your prices."
1,Customer Service? None.,"Purchased a brand new utility jacket that was to be mailed out to me. I was not given a receipt nor was I informed of a new exchange policy that occurred days before. When I had to exchange it, I was not allowed to because of a few days difference despite that they had record of my purchase. Called customer service and even contacted BBB. They simply did not care. Jacket is brand new with tags, unworn, it didn’t fit. Having been a loyal customer of 20 years I was greatly disappointed. I froze my credit cards and will definitely take my business elsewhere, it’s apparent they just don’t care."
1,Unethical practices,"They continuously alter “sales” after purchase to unlawfully take money from customers. I got a pair of pants from there that had a big g ink spot on them from the ink tag and they refused a refund, the tags were on and everything."
5,Have made 50+ purchases,"Have made 50+ purchases, across 3 years, delivered to 4 properties across the UK - never one issue. In fact, delivery usually comes within 2-3 days (well under the stated time frame). Returns is the easiest I’ve come across and the customer service has always been fantastic. End to end the best online shopping experience out there. Can’t fathom how someone has had a bad experience…"
1,No telephone customer service from Banana Republic,"I spent about an  hour but could not get to talk by telephone to a person who knows about rewards.  I answered the same questions by the phone robot over and over again.  I talked to Nicole, Kevin, Rosario, Mark, and Larell who put me on hold with loud rap music, then came back on the line, and put me again on hold with quieter music.  Larell gave me an answer but as he hung up, he said, ""Thank you for calling Athleta,"" so I guess he was not a BR representative and perhaps did not give me information about the BR card.I can only guess that the agents are holding a contest to find out who can give the least amount of information to ""valued customers."""
1,I’m requesting a refund for an order I…,"I’m requesting a refund for an order I did not get 1dk88byI spoke to customer service center refusing my gift card refund. Please send me the electronic gift card for the refund that is due to me as I did not receive  my order . It’s not fair you benefited from the transaction, and I did not very rude  insulant"
5,Excellent,"Excellent!  I would recommend this company to anyone.  Their clothing, shoes, and jewelry are well made.  They offer petite and taller sizes.  They offer simple tailoring services.  Their staff is attentive and professional.  The people that work here and their managers are always positive, appear to be listening, and seem genuinely concerned about anything you present to them.  Everyone seems efficient in processing any kind of transaction, such as purchases, returns, and exchanges.  No one ever seems bothered by working, even at their busiest times of year.  Always a great, stress free, shopping experience across all stores I've been to.  Thank you, BR!"
2,I’m so disappointed in Banana Republic,I’m so disappointed in Banana Republic. Their pique polos used to be amazing. Lots of colors and styles the fit was perfect. Unfortunately they decided to make 25 different polos and they are all awful except the pique ones. Too bad they only offer 5-6 boring colors. All of the other polos are loose in places tight in places and just look horrible. They had a good thing going for a long time too bad they ruined it
