Rating,Review Title,Review Text
1,Account disappeared.,Had an account for over 10 years. And now it has simply disappeared. The new website is asking me to re-register. All I wanted was my order history.Customer services have no record of me ever having an account. Absolute rubbish.
1,Ordered two pairs of trousers and they…,"Ordered two pairs of trousers and they sent a completely different item to the one I ordered. Emailed them immediately asking to rectify the error, received confirmation then nothing. Finally an email saying they were closing the query as I did not respond. To what??? Very poor."
1,Gone downhill,This was my favourite brand with hoodies and jeans fitting the best. I was ordering from GAP for 10 years or more and always knew that everything will fit and is as described. Over last year it has gone downhill. Last two times I ordered jeans they didn't fit well and also were not anything like in the picture. The description of the item - material composition was not provided too. This is the last time I ordered jeans from GAP
3,Seems very different now,"I used to buy a lot of basics from GAP, especially in the summer, but it seems very different now. The website looks just like the Next website. I don't know if it's just my imagination but the clothes look very similar too now... all very samey. There's very little product information and the photos aren't very good... sometimes there's just one photo, even just a sideways one of an arm or something. I landed up returning most of my order as it wasn't what I was expecting... very short items, almost cropped, not in the description... that kind of thing.On the plus side, the delivery was quick, as was the return and refund, although they deducted for postage.Overall, I can't imagine ordering from GAP again, which is a shame really.The other day I got an email from Joules to say Next would be managing their website and other services from now on, but not taking over exactly I don't think. I hope that doesn't go the same way."
1,AVOID - Beyond Shambolic,AVOID - Beyond Shambolic!Placed two orders to two different stores as I've gone away. Sent wrong sizes out and delivered to stores I've never been to or even listed as a delivery option. An absolute clowns outfit & not fit for purpose. The delivery company you use ‘Evri' are also grossly negligent.
5,Fabric Fabric Fabric!,"Most of the items sold in GAP have amazing natural fabric! Also, the accessible price is very attractive. All of GAP's competitors like MANGO, Zara, e.t.c have awful fabrics - cheap and synthetic. Even the higher end brands like REISS and GUESS use awful fabric for their products. Please, never change!"
1,Hopeless website,"I used to order clothes from website frequently, but now it's impossible to order anything.Couldn't sign in.  Tried password reset many times without success.  Contacted customer support, who said password reset didn't work (seriously!?)  They offered to remove my account so I could create a new one.   I took the offer.   But now can't sign in nor register!  And awful website forces one to have an account to order.I have the basket ready to order, but can't.  Guess I need to take my money elsewhere."
4,Good website and offers,"Good website and offers. Haven't returned anything in over a year so not sure about returns. However, I wish there would always be stock of the basics like the modern crew neck and v-neck tees in petite sizing (i am not that petite but norMal ones are very long). Gap is where I go for these essential basics for the entire family. Please please keep these well stocked they are better than my much more expensive tees which I will only keep until you restock. Kids clothings is also fabulous."
1,Terrible customer service experienced,"Oh my goodness I can't even begin to explain!! I used to absolutely love GAP. One of my favourite go to stores, I can't even think how much money I've spent with them over the decades. However, my recent experience of them is utterly flabbergasting - sorry for sounding OTT but wow, the worst experience in terms of not receiving items with no explanation, then reordering and only some turning up. Then being told that some items that are in the sale can take up to 42 days to ship. Yes, you read that right, 42 days!!! Inconsistent information given via their correspondence but overall terrible experience. There goes another great brand 😢😢"
1,AVOID AVOID!! DO NOT REFUND YOUR MONEY AND HOLD ONTO IT IN THEIR BANK,"GAP did a 'stop and return' item on my parcel. I have never received it in the 1st place. I am then told that they will not refund me until their courier has 1st returned it to their warehouse and then to GAP warehouse where it will take a further 5 working days to process. I had the money taken out of my account when I purchased my item, waited until delivery which did not happen and they did a 'stop and return' followed by me having to wait a further 10 WORKING DAYS  for a refund. This is a US company that normally EXCEL at customer experience but this is shocking. They just want to hold onto my money! AVOID!!!"
2,They use yodel as their courier,They use yodel as their courier. Yodel lie about attempted deliveries and say they have left a card. This has happened twice now. Customer service quick to reply but offer no real solution. I'm still trying to get my stuff 7 days after an apparent delivery attempt. Yodel are renowned for this. Stop using them gap!!!!!
5,As I have been working from home for…,"As I have been working from home for some time now, I was looking for trousers that look smart while being as comfortable as slackers are. My partner suggested Gap, and the products were exactly what I was looking for. While placing an order, I forgot to add a discount code. After contacting customer service, the code was swiftly added, before my card was charged. Overall a pleasant experience."
1,Very Bad quality,"Bought 2 cami tops in Gran Canaria GAP Store for 30€ each, after first wash you can throw it in the bin, pilling all over them! Was expecting better quality for the price I got them!"
1,Absolutely useless,"Absolutely useless. Online order form constantly tells you to enter a valid postcode, even though the postcode you use has worked on every other website on the planet, except this one. How convenient that this is happening when everything is 50%off. Don't bother wasting your time. Shop elsewhere to avoid certain disappointment."
1,TERRIBLE customer support i would…,TERRIBLE customer support i would rather not even leave 1 star - 0 would be more appropriate. Worst customer service i have come across. Avoid spending your money at Gap !
1,Terrible customer support.,"Terrible customer support.I razed a complain as I received items not matching my order. In few days I got response “as we have not heard anything more from you, we consider this to be resolved”. But I have never heard anything back on my initial query and complain. Very disappointing and even if I liked anything from their store, their arrogance will make me to buy nothing."
5,Good experience only so far,"I was really worried as I checked trustpilot after purchasing online from Gap. But I have had 4 separate orders from them so far and no problems. Quality is great. Delivery process was quick - they only send confirmation and despatch emails but there was never an email telling me that it was out for delivery, but it always gets here within the week. Got my refunds within 2 weeks of Gap receiving my return."
1,YOUR RIGHT GAP IS CRAP,"YOUR RIGHT GAP IS CRAP! Been buying my sons clothes from gap for years, not anymore! Placed online order, got email saying order didn't go through so re done order. Got the order, turns out was charged twice unknowingly missing items, American call center clueless unwilling to help always saying call back later!! No refund for missing items! Thanks gap and goodbye! Buy British!"
4,Surprisingly quick,"Worried about ordering from Gap after reading some of the reviews but I decided to test it on something cheap because I miss the shop and need summer clothes. Chose standard delivery on Friday night, item came today (Monday). No need to pay extra for next day delivery because this was speedy enough. Have now placed another order. The only problem is the tshirt I ordered was slightly different to the picture, but no big deal - still looks fine. Also sometimes the sizing can be inconsistent in Gap so there's certain things I won't be ordering until I can get to a Gap store to return things. Otherwise, all good."
