Date,Open,High,Low,Close,Adj Close,Volume
2014-01-28,37.040001,37.240002,36.570000,36.869999,26.697081,5870800
2014-01-29,36.669998,37.180000,36.660000,36.790001,26.639156,5329000
2014-01-30,37.000000,38.209999,36.910000,38.040001,27.544268,9529100
2014-01-31,37.419998,38.290001,37.380001,38.080002,27.573235,5880400
2014-02-03,38.020000,38.020000,37.099998,37.250000,26.972242,6719500
2014-02-04,38.779999,38.959999,37.790001,37.840000,27.399452,6924500
2014-02-05,37.509998,38.480000,37.189999,38.279999,27.718046,5777500
2014-02-06,38.400002,40.110001,38.320000,39.709999,28.753492,8035500
2014-02-07,42.599998,43.240002,41.840000,42.000000,30.411642,11526700
2014-02-10,41.980000,42.139999,41.320000,41.810001,30.274076,5715700
2014-02-11,41.869999,42.919998,41.540001,42.549999,30.809893,6146200
2014-02-12,42.650002,42.860001,42.049999,42.200001,30.556467,4191200
2014-02-13,41.980000,42.610001,41.880001,42.360001,30.672323,3922100
2014-02-14,42.189999,42.610001,41.930000,42.340000,30.657845,3645500
2014-02-18,42.290001,42.509998,41.970001,42.230000,30.578192,2477100
2014-02-19,42.200001,42.540001,42.049999,42.189999,30.549227,4202000
2014-02-20,42.250000,42.549999,42.180000,42.340000,30.657845,3040200
2014-02-21,42.230000,43.000000,42.169998,42.770000,30.969196,4334200
2014-02-24,42.830002,43.349998,42.810001,42.919998,31.077810,7340900
2014-02-25,43.040001,43.849998,42.939999,43.810001,31.722258,6969600
2014-02-26,43.820000,44.330002,43.590000,43.910000,31.794655,5991900
2014-02-27,43.970001,44.259998,42.570000,43.680000,31.628122,7584800
2014-02-28,43.930000,44.590000,43.160000,43.750000,31.678795,6493400
2014-03-03,43.270000,43.650002,42.970001,43.250000,31.316761,3476800
2014-03-04,43.580002,43.700001,42.759998,42.790001,30.983683,4841400
2014-03-05,42.779999,43.070000,42.480000,42.610001,30.853346,3613600
2014-03-06,42.730000,42.889999,42.230000,42.290001,30.621637,3394200
2014-03-07,41.400002,42.459999,41.049999,42.380001,30.686798,12232500
2014-03-10,42.299999,42.520000,41.669998,42.020000,30.426130,4778400
2014-03-11,42.090000,42.160000,41.740002,41.830002,30.288551,4553300
2014-03-12,41.150002,41.500000,40.400002,41.299999,29.904785,5125700
2014-03-13,41.459999,41.480000,41.049999,41.270000,29.883064,4330300
2014-03-14,41.320000,42.889999,41.230000,42.080002,30.469574,6410800
2014-03-17,42.139999,42.459999,41.990002,42.200001,30.556467,3769600
2014-03-18,42.240002,42.470001,41.959999,42.139999,30.513021,2980400
2014-03-19,42.139999,42.189999,41.330002,41.610001,30.129265,3180500
2014-03-20,41.430000,41.639999,41.220001,41.430000,29.998932,2127300
2014-03-21,41.660000,42.049999,41.509998,41.689999,30.187181,4327200
2014-03-24,41.730000,41.950001,40.919998,41.009998,29.694805,3058000
2014-03-25,41.119999,41.119999,39.830002,40.180000,29.093819,5183200
2014-03-26,40.349998,40.430000,39.810001,39.830002,28.840393,4396300
2014-03-27,40.009998,40.470001,39.790001,39.880001,28.876589,2871100
2014-03-28,39.910000,40.450001,39.740002,40.169998,29.086571,2370800
2014-03-31,40.299999,40.389999,39.660000,40.060001,29.006929,4306800
2014-04-01,40.490002,41.040001,40.310001,40.980000,29.673086,5020500
2014-04-02,40.939999,41.980000,40.830002,41.889999,30.331997,6421700
2014-04-03,41.970001,42.709999,41.750000,42.029999,30.433367,4928300
2014-04-04,42.189999,42.200001,41.310001,41.369999,29.955465,5391000
2014-04-07,40.220001,41.090000,40.220001,40.349998,29.373108,4095200
2014-04-08,40.349998,40.790001,39.970001,40.740002,29.657013,3109600
2014-04-09,40.570000,40.779999,39.820000,39.980000,29.103767,8249100
2014-04-10,39.959999,40.330002,39.220001,39.290001,28.601475,9625600
2014-04-11,37.060001,38.959999,37.000000,38.400002,27.953596,15285900
2014-04-14,38.730000,38.880001,37.529999,37.799999,27.516817,8331600
2014-04-15,37.860001,38.570000,37.590000,38.369999,27.931757,6134800
2014-04-16,38.669998,39.150002,38.480000,39.000000,28.390364,5777800
2014-04-17,38.799999,39.110001,38.250000,38.580002,28.084616,4974800
2014-04-21,38.580002,38.880001,38.320000,38.450001,27.989988,3614300
2014-04-22,38.540001,39.110001,38.380001,38.830002,28.266619,4335200
2014-04-23,38.849998,39.470001,38.830002,39.110001,28.470440,3681000
2014-04-24,39.240002,39.250000,38.630001,38.919998,28.332134,3668200
2014-04-25,38.740002,38.919998,38.500000,38.779999,28.230207,2446100
2014-04-28,38.990002,39.419998,38.660000,39.169998,28.514122,4873100
2014-04-29,39.290001,39.790001,39.090000,39.770000,28.950891,3915600
2014-04-30,39.650002,39.650002,39.110001,39.299999,28.608763,3821400
2014-05-01,39.430000,39.950001,39.270000,39.720001,28.914494,4022000
2014-05-02,39.930000,40.150002,39.040001,39.279999,28.594198,3764100
2014-05-05,39.180000,40.029999,38.970001,39.849998,29.009125,3884600
2014-05-06,39.630001,39.840000,39.200001,39.320000,28.623312,5307200
2014-05-07,39.400002,39.459999,38.490002,38.790001,28.237492,5178400
2014-05-08,39.060001,39.759998,38.380001,39.240002,28.565079,5717000
2014-05-09,41.090000,41.240002,39.939999,40.520000,29.496864,10389100
2014-05-12,40.650002,41.099998,40.639999,41.070000,29.897240,4459700
2014-05-13,40.980000,41.680000,40.919998,41.250000,30.028263,4222700
2014-05-14,41.250000,41.599998,41.220001,41.240002,30.020988,2880500
2014-05-15,41.040001,41.060001,40.320000,40.720001,29.642454,3384300
2014-05-16,40.799999,41.520000,40.669998,41.439999,30.166578,3437500
2014-05-19,41.470001,41.470001,41.049999,41.189999,29.984592,2246100
2014-05-20,41.009998,41.009998,40.169998,40.290001,29.329428,3265100
2014-05-21,40.389999,40.759998,40.220001,40.560001,29.525982,2154300
2014-05-22,40.529999,41.110001,40.480000,40.860001,29.744377,2728900
2014-05-23,40.990002,41.340000,40.020000,41.139999,29.948200,4126500
2014-05-27,41.349998,41.439999,40.910000,41.000000,29.846283,3294500
2014-05-28,40.990002,41.119999,40.580002,40.959999,29.817165,2711200
2014-05-29,41.040001,41.139999,40.560001,40.860001,29.744377,2472100
2014-05-30,40.720001,41.400002,40.709999,41.230000,30.013723,2871900
2014-06-02,41.349998,41.610001,40.930000,41.509998,30.217546,2705500
2014-06-03,41.419998,41.419998,40.650002,40.720001,29.642454,3390300
2014-06-04,40.840000,41.169998,40.540001,41.150002,29.955477,4084900
2014-06-05,41.330002,41.330002,40.759998,41.189999,29.984592,2298600
2014-06-06,41.549999,42.299999,41.490002,42.060001,30.617918,3221700
2014-06-09,42.000000,42.369999,41.630001,41.820000,30.443214,2219700
2014-06-10,41.750000,41.830002,41.279999,41.279999,30.050112,2040600
2014-06-11,41.250000,41.450001,40.919998,40.980000,29.831715,1730100
2014-06-12,40.740002,40.919998,40.540001,40.740002,29.657013,1804700
2014-06-13,40.660000,41.119999,40.650002,41.099998,29.919077,1702700
2014-06-16,40.919998,41.160000,40.790001,41.020000,29.860851,1986000
2014-06-17,41.139999,41.509998,41.020000,41.240002,30.020988,2076800
2014-06-18,41.900002,41.950001,41.500000,41.750000,30.392252,2738800
2014-06-19,41.919998,41.990002,41.410000,41.590000,30.275778,2731000
